farmyr,Year,Longitude,Latitude
11-039-020-00002-03-1 2010,2010,-5.86433751,36.24518229
11-039-020-00002-03-a 2012,2012,-5.859569062,36.24744136
11-039-020-00002-04-00 2014,2014,-5.877918421,36.24629803
11-039-020-00002-04-1 2012,2012,-5.872996561,36.24314502
11-039-020-00002-04-4 2010,2010,-5.874713314,36.24323893
11-039-020-00002-05 2013,2013,-5.877918421,36.24629803
11-039-020-00002-05 2015,2015,-5.877918421,36.24629803
11-039-020-00002-05 2017,2017,-5.868774427,36.24390431
11-039-020-00002-11-a 2012,2012,-5.877918421,36.24629803
11-039-020-00011-01-00 2015,2015,-5.855410104,36.24627908
11-039-051-00022-02 2010,2010,-5.936296246,36.26830934
11-039-051-00022-04 2009,2009,-5.936040944,36.26268314
11-039-051-00024-03 2009,2009,-5.936040944,36.26268314
11-039-051-00024-08-00 2013,2013,-5.936272881,36.26590372
11-039-051-00024-08-00 2014,2014,-5.936272881,36.26590372
11-039-051-00024-08-00 2015,2015,-5.936272881,36.26590372
11-039-051-00024-08-00 2016,2016,-5.936272881,36.26590372
11-039-051-00024-08-00 2017,2017,-5.936272881,36.26590372
11-039-051-00024-08-00 2018,2018,-5.936272881,36.26590372
11-039-051-00024-08-00 2019,2019,-5.936272881,36.26590372
11-039-051-00024-09-01 2013,2013,-5.936272881,36.26590372
11-039-051-00024-09-01 2014,2014,-5.936272881,36.26590372
11-039-051-00024-09-01 2015,2015,-6.022747007,36.87899297
11-039-051-00024-09-01 2016,2016,-6.022747007,36.87899297
11-039-051-00024-09-01 2017,2017,-5.929348133,36.26046822
11-039-051-00024-09-01 2018,2018,-5.929348133,36.26046822
11-039-051-00024-09-01 2019,2019,-5.929348133,36.26046822
11-039-051-00024-10-00 2009,2009,-5.936040944,36.26268314
11-039-051-00024-10-00 2010,2010,-5.936040944,36.26268314
11-039-051-00024-10-00 2011,2011,-5.936040944,36.26268314
11-039-051-00024-10-00 2012,2012,-5.936040944,36.26268314
11-039-051-00025-02 2009,2009,-5.925063912,36.2703061
11-039-051-00025-02 2010,2010,-5.925063912,36.2703061
11-039-051-00025-02 2011,2011,-5.925063912,36.2703061
11-039-051-00025-02 2012,2012,-5.925063912,36.2703061
11-039-051-00037-03-00 2009,2009,-5.925063912,36.2703061
11-039-051-00037-03-00 2010,2010,-5.925063912,36.2703061
11-039-051-00037-03-00 2011,2011,-5.925063912,36.2703061
11-039-051-00037-04-00 2013,2013,-5.924576288,36.26767753
11-039-051-00037-04-00 2014,2014,-5.924576288,36.26767753
11-039-051-00037-04-00 2015,2015,-5.924576352,36.26767924
11-039-051-00037-04-00 2016,2016,-5.924576288,36.26767753
11-039-051-00037-04-00 2017,2017,-5.928777869,36.26515941
11-039-051-00037-04-00 2018,2018,-5.928777869,36.26515941
11-039-051-00037-04-00 2019,2019,-5.928777869,36.26515941
11-039-051-00038-01-00 2011,2011,-5.936203047,36.22956913
11-039-laguna 2014,2014,-5.877918421,36.24629803
11-039-penoguer 2014,2014,-5.855410104,36.24627908
11-039-piera 2014,2014,-5.851074883,36.23138626
11-043-006-00009-02 2009,2009,-5.790450844,36.2992103
11-043-006-00009-02 2012,2012,-5.791086808,36.29928557
11-043-006-00009-02 2013,2013,-5.791086808,36.29928557
11-043-006-00009-02 2014,2014,-5.791086808,36.29928557
11-043-006-00009-02 2016,2016,-5.791086808,36.29928557
11-043-006-00009-02 2017,2017,-5.792286248,36.29732891
