Year,X,Y
2010,-77.92821,40.71686
2010,-77.92821,40.71686
2011,-79.62503,40.88405
2011,-79.62503,40.88405
2010,-79.62503,40.88405
2010,-79.62503,40.88405
2010,-77.60355,41.05941
2010,-76.39984,40.88787
2010,-76.39984,40.88787
2011,-76.39984,40.88787
2011,-76.39984,40.88787
2007,17.38021139,59.4929242
2007,17.39138754,59.4963265
2007,17.38743231,59.493681
2007,17.39075888,59.49383825
2007,17.3913559,59.49414524
2007,17.17792453,59.65375367
2007,17.19361517,59.6531308
2007,17.19024044,59.6525919
2007,17.19896519,59.65381923
2007,17.19822024,59.65424907
2007,17.35367023,59.66583906
2007,17.353984,59.66494657
2007,17.34973326,59.6628061
2007,17.50792822,59.59669205
2007,17.36090843,59.65544708
2007,17.32337822,59.66759786
2007,17.3157102,59.67604894
2007,17.31673225,59.67746013
2007,17.2869316,59.67795689
2007,17.29191098,59.68377191
2007,17.29531612,59.68348644
2007,17.29081304,59.68223122
2007,16.91868322,59.75372695
2007,16.91910408,59.75452382
2007,17.00094249,59.74128709
2007,17.00314289,59.74181466
2007,17.29189074,59.4910443
2007,17.28934157,59.49168822
2007,17.29858922,59.50162016
2007,16.95380153,59.77670792
2007,16.95539025,59.77993917
2007,16.95833444,59.78193319
2007,17.35092635,59.77223629
2007,17.55472648,59.86996888
2007,17.56234522,59.86851186
2007,17.55685989,59.86911458
2007,17.55392046,59.87128137
2007,17.72211118,59.86015247
2007,17.72686789,59.85967916
2007,17.72838357,59.86212608
2007,18.37869026,59.8525832
2007,17.53342769,59.80561828
2007,17.5628287,59.86820016
2007,17.52608682,59.90245948
2007,17.52904129,59.9008408
2007,17.52678073,59.90723557
2007,17.59257551,59.93643986
2007,17.3953572,59.94557622
2007,17.39314779,59.94877184
2007,17.39054352,59.9452032
2007,17.40256242,59.94655754
2007,17.40081419,59.94704551
2007,17.63348175,59.939494
2007,17.63754988,59.94609924
2007,17.63665463,59.94446869
2007,17.66194652,59.95384749
2007,17.65328945,59.95268512
2007,17.62788011,59.96507333
2007,17.63359708,59.97328542
2007,17.64167088,59.97207808
2007,17.67826172,59.96826021
2007,17.67989872,59.96838961
2007,17.67956153,59.97193175
2007,17.67064737,59.97234527
2007,17.67252937,59.97332421
2007,17.19963305,59.54326363
2007,17.19446957,59.54410403
2007,17.22615485,59.55253073
2007,17.18255246,59.69180501
2007,17.18181575,59.69202819
2007,17.17924171,59.69118434
2007,17.28903001,59.70214556
2007,17.29842541,59.69291794
2007,17.50726449,59.58968876
2007,17.50458857,59.59280298
2007,17.50792868,59.59670102
2007,17.55838678,59.79664242
2007,17.54966108,59.79979292
2007,17.54481724,59.80189503
2007,17.53490828,59.8042701
2007,17.53342862,59.80563623
2007,17.32055252,59.4999402
2007,17.32512926,59.49647554
2007,17.35533483,59.48596716
2007,17.31872714,59.50216089
2007,17.32881349,59.49751901
2007,17.50822687,59.773402
2007,17.50572514,59.76971753
2007,17.50748919,59.77307488
2007,17.50844571,59.77140608
2007,17.36144536,59.80066266
2007,17.36416209,59.79740757
2007,17.36008533,59.80168421
2007,17.36435611,59.79622024
2007,17.36807639,59.79729831
2007,17.23102096,59.52997999
2007,17.21936803,59.53068093
2007,17.218175,59.53089131
2007,17.22960326,59.5315665
2007,17.22573998,59.53174314
2007,17.27548745,59.61967761
2007,17.27411103,59.62305963
2007,17.27603699,59.61927644
2007,17.2866051,59.62586826
2007,17.06206239,59.69325541
2007,17.06055754,59.69480488
2007,17.05922473,59.69620905
2007,17.05633511,59.69682909
2007,17.06274874,59.69593299
2007,17.00895094,59.59157118
2007,17.00412229,59.59245478
2007,16.99827672,59.59512941
2007,17.00535611,59.6141771
2007,17.02665957,59.61096415
2007,17.01765654,59.62070707
2007,17.03863946,59.62123862
2007,17.01933563,59.62107755
2007,17.1319581,59.60278936
2007,17.13886391,59.60386542
2005,-82.804,43.675
2005,-85.6066,42.1417
2005,-89.32796,43.17297
2005,-89.33496,43.31665
2005,-89.36881,42.85958
2005,-89.53491,44.11339
2005,-89.53848,43.06438
2005,-92.88635,43.688083
2005,-93.103083,43.688083
2005,-93.1836,44.990266
2005,-95.28631595,44.28364998
2005,-83.147,43.242
2005,-95.31334995,44.27879997
2005,-96.32719984,44.11134995
2005,-92.11,43.38
2005,-92.572333,42.934533
2005,-92.87555,41.4561
2005,-93.419833,40.979766
2005,-93.498733,40.83571599
2005,-84.1122,43.3867
2005,-84.4315,42.6347
2005,-84.4963,42.6903
2005,-84.482,43.0668
2005,-84.6775,43.4005
2005,-85.3313,43.4307
2005,-85.3785,42.4026
2007,13.01443143,55.44078902
2007,13.02197668,55.44228198
2007,14.18910406,55.6652924
2007,14.18961277,55.67299761
2007,13.11031947,55.94454024
2007,13.11577495,55.94506388
2007,13.30869804,55.80110543
2007,13.31332781,55.80179241
2007,13.25398541,55.45969862
2007,13.25013751,55.45220541
2007,13.51228959,55.83424536
2007,13.51522545,55.83589928
2007,13.0861033,56.11953976
2007,13.07118246,56.11131227
2007,13.72944653,55.72447714
2007,13.72510859,55.7413832
2007,13.59680004,55.81147296
2007,13.59914615,55.80864021
2007,13.66901804,55.93139866
2007,13.66930524,55.92879836
2007,12.98506876,55.52988483
2007,12.97371001,55.5296585
2007,13.19857004,55.4051563
2007,13.23514558,55.39709843
2007,-120.1442879,36.23709361
2007,-119.9544435,36.2142838
2007,-120.017259,36.17794931
2007,-119.9631682,36.07587628
2007,-119.8970324,36.3363368
2007,-119.9541205,36.02880339
2007,-119.8477128,36.23322719
2007,-119.6159999,35.86644073
2007,-119.8345166,36.03924531
2007,-119.7621595,36.11217366
2007,-119.6523484,36.01420671
2007,-120.1170354,36.32436799
2007,-119.5643466,35.90942027
2007,-119.8383535,36.12750635
2007,-119.5854168,36.01423356
2007,-119.6522788,35.9742795
2007,-120.1834416,36.62895213
2007,-119.9726093,36.33156025
2007,-120.0715868,36.426095
2007,-119.9546736,36.39733591
2007,-120.0088073,36.41179124
2007,-120.0532655,36.33887982
2007,-120.17356,36.41860857
2007,-120.278989,36.60809834
2007,-120.1678438,36.60544725
2007,-120.3022044,36.59922598
2007,-120.2753157,36.5558234
2007,-120.2324111,36.65910726
2007,-120.2019202,36.65210878
2007,-120.2863558,36.65223931
2007,-120.2436249,36.61544381
2007,-120.2454075,36.63551894
2007,-120.217383,36.60703963
2007,-120.109091,36.46958953
2007,-120.2954813,36.62291926
2007,-119.8196863,36.07212638
2007,-120.0830248,36.38977595
2007,-120.2582906,36.39625879
2007,-120.1077099,36.43152015
2007,-119.96368,36.14142453
2007,-120.0081607,36.13389978
2008,-120.0894896,36.14167263
2008,-119.9723609,36.11957171
2008,-119.9545094,36.0976636
2008,-119.963661,36.14859218
2008,-119.8398734,36.21524638
2008,-119.8795514,36.2954356
2008,-119.9724381,36.18519946
2008,-120.0261444,36.17063954
2008,-119.936474,36.12690967
2008,-119.9544435,36.2142838
2008,-119.9195383,36.21309937
2008,-120.0548466,36.14953901
2008,-119.838314,36.11948834
2008,-119.82793,36.26241655
2008,-119.9185739,36.31770147
2008,-119.9634453,36.30267253
2008,-119.9726938,36.33157337
2008,-119.9722019,36.36805294
2008,-119.9998472,36.34654612
2008,-120.0260923,36.28812329
2008,-120.010565,36.31732775
2008,-120.035331,36.33911408
2008,-120.0718117,36.18517156
2008,-120.0828814,36.44067764
2008,-120.112936,36.4702072
2008,-120.1434756,36.41872003
2008,-120.1826605,36.40230998
2008,-120.2027503,36.42556879
